2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - File:src/main/resources/data_files/correctData1.txt was successfully read
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - Parse was successful complete
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - Parse was successful complete
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.director.DataDirector - Tetrahedrons was created
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - File:src/main/resources/data_files/correctData2.txt was successfully read
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - Parse was successful complete
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.director.DataDirector - Tetrahedrons was created
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - File:src/main/resources/data_files/incorrectData1.txt was successfully read
2018-11-04 12:05:24 [main] WARN  com.epam.geometry.director.DataDirector - Was met incorrect data:1.0 2.3 3.6,3.2 4.2 1.2,3.2 5.2 1.k,5.6 2.1 7.6
2018-11-04 12:05:24 [main] WARN  com.epam.geometry.director.DataDirector - Was met incorrect data:1.0 2.3 3.6,3.2 4.2 1.2,3.2 5.2 qweas 4,5,5.6 2.1 7.6
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - Parse was successful complete
2018-11-04 12:05:24 [main] WARN  com.epam.geometry.director.DataDirector - Was met incorrect data:1.0 2.3 3.6,3.2 4.2 1.2,3.2 5.2,5.6 2.1 7.6
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.director.DataDirector - Tetrahedrons was created
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - Parse was successful complete
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - Parse was successful complete
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - Parse was successful complete
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.reader.FileReader - File:src/main/resources/data_files/correctData1.txt was successfully read
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.registar.TetrahedronRegister - TetrahedronRepository was: is created
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.registar.TetrahedronRegister - TetrahedronRegister is updated
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.registar.TetrahedronRegister - TetrahedronRegister is updated
2018-11-04 12:05:24 [main] INFO  com.epam.geometry.registar.TetrahedronRegister - TetrahedronRegister is updated
